species,R.km2,P.km2,R.fill,S.fill,Lat,Long,R.shape,P.shape,S.shape
Chrysolepis chrysophylla,4.916,5.465,42.824,37.853,42.265,-123.165,3.102,1.867,1.249
Citharexylum berlandieri,4.815,5.917,40.148,26.424,23.944,-98.368,2.062,0.378,1.307
Cladrastis kentukea,4.718,6.028,8.426,42.468,35.915,-89.036,0.602,0.338,1.101
Clethra acuminata,4.683,5.862,18.721,25.756,36.45,-82.785,0.722,0.327,1.061
Cliftonia monophylla,5,5.518,56.36,33.673,31.072,-84.973,0.337,0.322,0.856
Condalia globosa,5.093,5.842,28.907,23.488,28.855,-111.886,1.488,0.735,1.059
Condalia hookeri,5.384,5.771,63.269,58.52,26.856,-98.693,1.556,0.332,1.097
Cordia boissieri,5.219,5.834,38.975,35.949,24.558,-99.208,1.276,0.403,1.172
Cornus alternifolia,6.227,6.538,70.346,79.619,43.032,-80.141,0.459,0.352,0.912
Cornus drummondii,6.044,6.39,56.873,71.546,37.11,-92.85,0.741,0.485,1.026
Cornus florida,6.288,6.388,90.636,86.786,36.257,-84.913,0.603,0.485,0.956
Cornus foemina,5.839,6.155,57.959,57.254,33.07,-85.85,0.692,0.445,0.83
Cornus glabrata,4.597,5.469,20.938,33.823,39.763,-122.577,1.253,2.084,1.006
Cornus nuttallii,5.399,5.665,69.809,48.259,45.17,-123.021,1.852,1.091,1.276
Cornus racemosa,6.029,6.316,67.792,68.908,41.975,-85.141,0.432,0.393,0.819
Cornus rugosa,5.998,6.295,64.363,63.76,44.86,-79.661,0.347,0.348,1.011
Cornus sericea,6.834,7.045,69.931,62.674,51.43,-102.041,0.408,0.412,1
Cornus sessilis,4.383,5.223,30.697,21.479,40.343,-122.129,0.913,1.426,0.913
Corylus cornuta,6.392,6.865,49.748,58.453,47.581,-91.784,0.318,0.394,1.02
Cotinus obovatus,4.468,6.05,5.922,21.714,35.044,-92.792,0.585,0.371,1.074
Crataegus chrysocarpa,5.769,6.33,49.335,61.294,49.098,-100.248,0.561,0.506,1.008
Crataegus columbiana,4.65,6.491,4.294,14.892,49.367,-118.162,1.03,0.348,1.04
Crataegus douglasii,5.957,6.644,35.137,36.897,48.66,-119.763,0.448,0.353,1.102
Crataegus succulenta,5.784,6.23,61.992,78.027,45.766,-97.871,0.728,0.563,1.032
Cupressus arizonica,4.853,6.147,9.868,38.404,26.996,-105.068,0.612,0.592,1.132
Cupressus nootkatensis,5.379,6.069,48.374,26.621,52.793,-128.845,0.625,0.267,1.006
Cylindropuntia fulgida,5.166,5.934,27.502,31.559,30.485,-111.185,1.287,0.696,0.996
Cyrilla racemiflora,5.563,5.923,60.04,39.181,32.358,-83.555,0.496,0.445,1.099
Diospyros texana,5.564,5.985,51.008,55.711,28.029,-99.758,1.026,0.402,0.962
Diospyros virginiana,6.28,6.338,95.873,87.083,34.854,-86.58,0.615,0.468,0.835
Ebenopsis ebano,5.175,5.799,43.28,37.815,25.079,-98.905,0.897,0.378,1.097
Ehretia anacua,5.214,5.882,35.107,39.957,25.189,-98.831,1.973,0.354,1.164
Erythrina flabelliformis,5.238,6.243,17.156,30.937,26.702,-107.497,1.087,0.428,0.904
Erythrina herbacea,5.519,5.944,47.118,77.943,28.849,-89.535,0.558,0.414,0.578
Esenbeckia berlandieri,4.374,5.583,11.516,21.894,24.494,-98.959,1.574,0.354,0.958
Euonymus atropurpureus,6.033,6.343,67.527,69.398,39.26,-88.25,0.618,0.436,0.969
Euonymus occidentalis,4.771,5.423,40.586,35.455,42.109,-123.249,1.901,1.665,1.234
Eysenhardtia texana,5.559,6.003,49.454,55.794,27.598,-100.359,1.363,0.384,0.942
Fagus grandifolia,6.35,6.446,87.908,85.165,39.327,-80.619,0.63,0.398,0.916
Forestiera acuminata,5.582,6.128,35.849,69.164,33.917,-90.228,0.702,0.348,1.05
Forestiera angustifolia,5.728,6.073,59.471,65.416,26.452,-100.855,0.779,0.345,1.041
Forestiera segregata,4.442,5.442,24.804,61.081,27.928,-81.396,2.55,0.428,0.977
Frangula californica,5.292,6.38,22.843,29.166,36.615,-119.086,0.655,0.404,0.965
Frangula purshiana,5.522,6.053,46.87,37.895,46.464,-121.38,0.949,0.29,1.177
Fraxinus americana,6.453,6.524,92.372,94.515,39.275,-83.442,0.498,0.437,0.807
Fraxinus anomala,4.928,6.034,17.754,20.033,37.322,-110.862,0.815,0.794,0.989
Fraxinus berlandieriana,5.316,5.792,50.853,54.527,26.826,-99.821,1.125,0.398,1.006
Fraxinus caroliniana,5.637,6.005,57.449,48.266,31.804,-83.601,0.638,0.467,0.981
Fraxinus dipetala,4.783,5.592,29.416,39.011,35.504,-119.412,1.389,1.204,1.075
Fraxinus greggii,5.19,5.797,34.453,40.16,25.171,-100.565,1.582,0.55,0.992
Fraxinus latifolia,5.19,5.501,63.661,43.278,41.651,-122.425,1.747,1.902,1.228
Fraxinus nigra,6.289,6.522,79.132,71.043,45.636,-80.813,0.347,0.351,0.865
Fraxinus pennsylvanica,6.687,6.828,83.59,70.382,41.666,-91.092,0.5,0.471,0.9
Fraxinus profunda,5.205,6.175,19.925,30.627,34.762,-82.558,0.723,0.476,1.147
Fraxinus quadrangulata,5.537,6.013,42.433,51.969,38.843,-88.195,0.663,0.295,0.998
Fraxinus texensis,4.415,5.586,29.719,42.687,30.636,-98.249,1.204,0.37,1.063
Fraxinus velutina,4.971,6.324,12.36,19.027,33.243,-110.694,0.66,0.748,1.052
Fremontodendron californicum,4.544,5.995,18.833,27.172,36.797,-119.509,0.843,0.561,0.873
Garrya elliptica,4.53,5.203,46.077,30.544,40.161,-123.234,1.883,1.761,0.907
Gleditsia aquatica,5.453,6.075,30.377,69.789,32.727,-90.062,0.683,0.391,1.026
Gleditsia triacanthos,6.239,6.438,69.298,76.282,36.844,-90.379,0.594,0.473,0.963
